ID,Word,POS,Oxford 5000 Meanings,Oxford Score,Oxford Status,CLD Meanings,CLD Score,CLD Status,Sam Meanings,Sam Score,Sam Status,Muller AST Meanings,Muller AST Score,Muller AST Status,Muller A4 Meanings,Muller A4 Score,Muller A4 Status,Muller 300k Meanings,Muller 300k Score,Muller 300k Status,Shkolnik Meanings,Shkolnik Score,Shkolnik Status
1,consensus,noun,"согласие, единодушие | полит.  консенсус, согласованное мнение | физиол.  со-гласованность действий различных органов тела",10.0,Сбалансирован (хороший),единодушие,5.0,Недостаточен (только 1 значение),"согласованность | согласие, единодушие, консенсус | достичь согласия",7.5,Сбалансирован (хороший),,0.0,Отсутствует в словаре,"согласие, единодушие | полит | консенсус, согласованное мнение | физиол | со гласованность деи | ствии",10.0,Сбалансирован (идеальный порядок),"со гла сие, еди но ду шие",3.5,Недостаточен (только 1 значение),,0.0,Отсутствует в словаре
2,announce,verb,"объявлять, давать знать; заявлять; извещать | публиковать | докладывать ( о прибытии  посетителей,  гостей )",10.0,Сбалансирован (хороший),"объявлять, заявлять",5.0,Недостаточен (только 1 значение),"объявлять, извещать | анонсировать | заявлять | оповещать | возвещать | давать знать",9.0,Сбалансирован (идеальный порядок),объявля ть,3.5,Недостаточен (только 1 значение),"объявлять, давать знать | заявлять | извещать | публиковать | докладывать (о прибытии посетителеи | гостеи",10.0,Сбалансирован (идеальный порядок),"из ве щать, пуб ли ко вать, объ яв лять | да вать знать | за яв лять | до кла ды вать (о по се ти те лях, гос тях",7.5,Сбалансирован (хороший),объяв лять | объяв ление | диктор,6.5,Сбалансирован (хороший)
3,included,adjective,"включенный (в состав, стоимость), входящий в комплект",10.0,Удовлетворительный,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
4,grateful,adjective,благодарный; признательный; благодарственный | приятный,7.5,Сбалансирован (хороший),благодарный,5.0,Недостаточен (только 1 значение),благодарныи | признательныи | выражающии | благодарность,6.5,Сбалансирован (хороший),благода рныи,3.5,Недостаточен (только 1 значение),благодарныи | признательныи | благодарственныи | приятныи,6.5,Сбалансирован (хороший),бла го дар - ныи | при зна тель ныи | бла го дар ст - вен ныи | при ят ныи,6.5,Сбалансирован (хороший),благодар ныи,3.5,Недостаточен (только 1 значение)
5,food,noun,"пища, питание; еда , корм | съестные припасы, провизия, про-довольствие | пища ( духовная ) | attr. питательный | attr. продовольствен-ный",10.0,Сбалансирован (идеальный порядок),"пища, еда",5.0,Недостаточен (только 1 значение),"пища | питание | еда | /готовить еду | пища для размышлении | продукты питания, продовольствие",10.0,Сбалансирован (идеальный порядок),пи ща,3.5,Недостаточен (только 1 значение),"пища, питание | еда, корм | там хоро шо кормят | уто нуть | умереть | съестные припасы, провизия, про довольствие",9.0,Избыточен (сильно перегружен),"пи ща | еда, ку ша нье | про до воль - ст вен ная кар точ ка",8.5,Сбалансирован (хороший),"пища | пищевое отравление | продукты, про довольствие",9.0,Сбалансирован (хороший)
6,decision-making,"noun, adjective",принятие решений | связанный с принятием решений,10.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
7,competent,adjective,"компе-тентный, знающий | достаточный | полноправный; пра-вомочный",10.0,Сбалансирован (хороший),"компетентный, знающий",5.0,Недостаточен (только 1 значение),компетентныи | знающии | надлежащии | достаточныи | отвечающии | требованиям,6.5,Сбалансирован (хороший),уме лыи | компете нтныи,5.0,Удовлетворительный,компе тентныи | знающии | достаточныи | требуемое законом боль шинство | полноправныи | пра вомочныи,8.0,Сбалансирован (хороший),ком - пе тент ныи | пол но - прав ныи | пра во моч ныи | подсуд ныи | до ста точ ныи | ус та - нов лен ныи,7.5,Сбалансирован (хороший),умелыи | компетентныи,5.0,Удовлетворительный
8,therefore,adverb,"поэтому, сле-довательно",7.5,Удовлетворительный,"поэтому, следовательно",7.5,Удовлетворительный,"следовательно | я мыслю, следовательно, я существую",10.0,Сбалансирован (хороший),поэ тому | сле довательно,8.5,Сбалансирован (хороший),"поэтому, сле довательно",7.5,Удовлетворительный,"по это му, сле до ва тель но",7.5,Удовлетворительный,,0.0,Отсутствует в словаре
9,chronic,"adjective, noun",хронический; застарелый ( о болезни ) | постоян-ный; привычный | ужасный | хроник,10.0,Сбалансирован (идеальный порядок),хронический,5.0,Недостаточен (только 1 значение),хроническии | неисправимыи | постоянныи | сленг ужасныи,6.5,Сбалансирован (хороший),хрони ческии,3.5,Недостаточен (только 1 значение),хроническии | застарелыи | о болезни | постоян ныи | привычныи | вечные сомнения,7.5,Сбалансирован (хороший),хро ни че с - кии | за ста ре лыи | о бо лез ни | по сто ян ныи | при выч ныи | веч ные со - мне ния,6.5,Сбалансирован (хороший),хроническии,3.5,Недостаточен (только 1 значение)
10,well-being,noun,"благополучие, процветание",7.5,Удовлетворительный,"здоровье, благосостояние",7.5,Удовлетворительный,"здоровье | благосостояние, (материальное) благополучие | процветание",10.0,Сбалансирован (хороший),,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
