ID,Word,POS,Ideal Meanings,Oxford Data,Oxford Coincidence (%),Oxford Status,CLD Data,CLD Coincidence (%),CLD Status,Sam Data,Sam Coincidence (%),Sam Status,Muller A4 Data,Muller A4 Coincidence (%),Muller A4 Status,Muller 300k Data,Muller 300k Coincidence (%),Muller 300k Status,Shkolnik Data,Shkolnik Coincidence (%),Shkolnik Status,Muller AST Data,Muller AST Coincidence (%),Muller AST Status
1,consensus,noun,"единодушие | полит. консенсус, согласованное мнение | физиол. со-гласованность действий различных органов тела | согласованность","согласие, единодушие | полит. консенсус, согласованное мнение | физиол. со-гласованность действий различных органов тела",81.0,Высокое совпадение,единодушие,61.0,Хорошее совпадение,"согласованность | согласие, единодушие, консенсус | достичь согласия",76.0,Высокое совпадение,"согласие, единодушие | полит | консенсус, согласованное мнение | физиол | со гласованность деи | ствии",81.0,Высокое совпадение,"согласие, едино душие",6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
2,announce,verb,"объявлять, заявлять | публиковать | докладывать ( о прибытии посетителей, гостей ) | анонсировать","объявлять, давать знать; заявлять; извещать | публиковать | докладывать ( о прибытии посетителей, гостей )",81.0,Высокое совпадение,"объявлять, заявлять",61.0,Хорошее совпадение,"объявлять, извещать | анонсировать | заявлять | оповещать | возвещать | давать знать",71.0,Хорошее совпадение,"объявлять, давать знать | заявлять | извещать | публиковать | докладывать (о прибытии посетителеи | гостеи",81.0,Высокое совпадение,"извещать, публи ковать, объявлять | давать знать | заявлять | докла дывать (опосети телях, гостях",61.0,Хорошее совпадение,объяв лять | объяв ление | диктор,61.0,Хорошее совпадение,объявля ть,61.0,Хорошее совпадение
3,included,adjective,"включенный (в состав, стоимость), входящий в комплект","включенный (в состав, стоимость), входящий в комплект",100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
4,grateful,adjective,благодарный | приятный | признательныи,благодарный; признательный; благодарственный | приятный,100.0,Идеальное совпадение,благодарный,64.3,Хорошее совпадение,благодарныи | признательныи | выражающии | благодарность,77.7,Высокое совпадение,благодарныи | признательныи | благодарственныи | приятныи,100.0,Идеальное совпадение,благодар - ныи | призна тельныи | благо дарст - венныи | приятныи,19.3,Низкое совпадение,благодар ныи,64.3,Хорошее совпадение,благода рныи,64.3,Хорошее совпадение
5,food,noun,"пища, еда | съестные припасы, провизия, про-довольствие | питание","пища, питание; еда , корм | съестные припасы, провизия, про-довольствие | пища ( духовная ) | attr. питательный | attr. продовольствен-ный",96.0,Идеальное совпадение,"пища, еда",64.3,Хорошее совпадение,"пища | питание | еда | /готовить еду | пища для размышлении | продукты питания, продовольствие",77.7,Высокое совпадение,"пища, питание | еда, корм | там хоро шо кормят | уто нуть | умереть | съестные припасы, провизия, про довольствие",96.0,Идеальное совпадение,"пища | еда, кушанье | продоволь - ствен наякар точка",64.3,Хорошее совпадение,"пища | пищевое отравление | продукты, про довольствие",77.7,Высокое совпадение,пи ща,64.3,Хорошее совпадение
6,decision-making,"adjective, noun",принятие решений,принятие решений | связанный с принятием решений,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
7,competent,adjective,"компетентный, знающий | достаточный | полноправный; пра-вомочный","компе-тентный, знающий | достаточный | полноправный; пра-вомочный",100.0,Идеальное совпадение,"компетентный, знающий",64.3,Хорошее совпадение,компетентныи | знающии | надлежащии | достаточныи | отвечающии | требованиям,77.7,Высокое совпадение,компе тентныи | знающии | достаточныи | требуемое законом боль шинство | полноправныи | пра вомочныи,71.0,Хорошее совпадение,ком - петентныи | полно - правныи | право мочныи | подсудныи | доста точныи | уста - новленныи,6.0,Низкое совпадение,умелыи | компетентныи,41.3,Частичное совпадение,уме лыи | компете нтныи,6.0,Низкое совпадение
8,therefore,adverb,"поэтому, следовательно","поэтому, сле-довательно",100.0,Идеальное совпадение,"поэтому, следовательно",100.0,Идеальное совпадение,"следовательно | я мыслю, следовательно, я существую",100.0,Идеальное совпадение,"поэтому, сле довательно",100.0,Идеальное совпадение,"поэтому, следо вательно",100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,поэ тому | сле довательно,100.0,Идеальное совпадение
9,chronic,"adjective, noun",хронический | постоян-ный; привычный | ужасный | неисправимыи,хронический; застарелый ( о болезни ) | постоян-ный; привычный | ужасный | хроник,81.0,Высокое совпадение,хронический,61.0,Хорошее совпадение,хроническии | неисправимыи | постоянныи | сленг ужасныи,81.0,Высокое совпадение,хроническии | застарелыи | о болезни | постоян ныи | привычныи | вечные сомнения,71.0,Хорошее совпадение,хроничес - кии | заста релыи | обо лезни | посто янныи | привычныи | вечныесо - мнения,16.0,Низкое совпадение,хроническии,61.0,Хорошее совпадение,хрони ческии,6.0,Низкое совпадение
10,well-being,noun,"здоровье, благосостояние","благополучие, процветание",6.0,Низкое совпадение,"здоровье, благосостояние",100.0,Идеальное совпадение,"здоровье | благосостояние, (материальное) благополучие | процветание",96.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
